NUMERO_INCIDENTE;CODIGO_CRIME;CODIGO_GRUPO_CRIME;DESCRICAO_CRIME;DISTRITO;AREA_REPORTADA;TEVE_TIRO;DATA_OCORRENCIA;ANO;MES;DIA_DA_SEMANA;HORA;ALTO_RISCO;LATITUDE;LONGITUDE
I182070791;2900;Other;VAL - VIOLATION OF AUTO LAW - OTHER;B2;325;0;03/09/2018 11:14;2018;9;Monday;11;0;42.31620533;-71.07609249
I182070788;3114;Investigate Property;INVESTIGATE PROPERTY;B2;305;0;02/09/2018 21:30;2018;9;Sunday;21;0;42.3191711;-71.09192415
I182070784;3301;Verbal Disputes;VERBAL DISPUTE;B2;909;0;03/09/2018 10:42;2018;9;Monday;10;0;42.33380238;-71.08880867
I182070783;3207;Property Found;PROPERTY - FOUND;B2;289;0;03/09/2018 10:46;2018;9;Monday;10;0;42.33402461;-71.09039049
I182070779;423;Aggravated Assault;ASSAULT - AGGRAVATED;B2;600;0;03/09/2018 10:00;2018;9;Monday;10;1;42.3375009;-71.09583094
I182070779;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;600;0;03/09/2018 10:00;2018;9;Monday;10;0;42.3375009;-71.09583094
I182070779;2405;Disorderly Conduct;DISORDERLY CONDUCT;B2;600;0;03/09/2018 10:00;2018;9;Monday;10;0;42.3375009;-71.09583094
I182070779;2610;Other;TRESPASSING;B2;600;0;03/09/2018 10:00;2018;9;Monday;10;0;42.3375009;-71.09583094
I182070778;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;904;0;03/09/2018 09:51;2018;9;Monday;9;0;42.32935767;-71.07974589
I182070770;3201;Property Lost;PROPERTY - LOST;B2;265;0;03/09/2018 01:00;2018;9;Monday;1;0;42.3218854;-71.07906279
I182070764;3115;Investigate Person;INVESTIGATE PERSON;B2;909;0;03/09/2018 08:12;2018;9;Monday;8;0;42.33445761;-71.088061
I182070760;3301;Verbal Disputes;VERBAL DISPUTE;B2;263;0;03/09/2018 07:50;2018;9;Monday;7;0;42.32368852;-71.07519735
I182070726;3301;Verbal Disputes;VERBAL DISPUTE;B2;265;0;03/09/2018 01:40;2018;9;Monday;1;0;42.32037671;-71.07903447
I182070722;3002;Medical Assistance;ANIMAL CONTROL - DOG BITES - ETC.;B2;276;0;03/09/2018 01:37;2018;9;Monday;1;0;42.33166164;-71.08147827
I182070686;3301;Verbal Disputes;VERBAL DISPUTE;B2;586;0;02/09/2018 22:02;2018;9;Sunday;22;0;42.33013124;-71.10138008
I182070681;3115;Investigate Person;INVESTIGATE PERSON;B2;304;0;02/09/2018 22:17;2018;9;Sunday;22;0;42.32177032;-71.09779774
I182070668;423;Aggravated Assault;ASSAULT - AGGRAVATED;B2;291;0;02/09/2018 21:12;2018;9;Sunday;21;1;42.32955354;-71.09357444
I182070668;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;291;0;02/09/2018 21:12;2018;9;Sunday;21;1;42.32955354;-71.09357444
I182070657;3803;Motor Vehicle Accident Response;M/V ACCIDENT - PERSONAL INJURY;B2;311;0;02/09/2018 20:32;2018;9;Sunday;20;0;42.31791574;-71.0821563
I182070641;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;319;0;02/09/2018 19:45;2018;9;Sunday;19;0;42.3075244;-71.08720471
I182070634;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;266;0;31/08/2018 20:00;2018;8;Friday;20;0;42.32522448;-71.07821131
I182070629;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;315;0;02/09/2018 19:03;2018;9;Sunday;19;0;42.3140129;-71.08635277
I182070625;614;Larceny From Motor Vehicle;LARCENY THEFT FROM MV - NON-ACCESSORY;B2;268;0;02/09/2018 18:58;2018;9;Sunday;18;0;42.32851529;-71.07653709
I182070625;1402;Vandalism;VANDALISM;B2;268;0;02/09/2018 18:58;2018;9;Sunday;18;0;42.32851529;-71.07653709
I182070614;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;180;0;02/09/2018 17:35;2018;9;Sunday;17;0;42.32688327;-71.07390946
I182070613;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;297;0;02/09/2018 18:33;2018;9;Sunday;18;0;42.32217348;-71.08506711
I182070600;3114;Investigate Property;INVESTIGATE PROPERTY;B2;319;0;02/09/2018 16:45;2018;9;Sunday;16;0;42.30803768;-71.08359213
I182070597;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;282;0;02/09/2018 17:30;2018;9;Sunday;17;0;42.32866284;-71.08563401
I182070585;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;318;0;02/09/2018 16:43;2018;9;Sunday;16;0;42.30973269;-71.08734852
I182070584;3201;Property Lost;PROPERTY - LOST;B2;329;0;02/09/2018 00:00;2018;9;Sunday;0;0;42.30994883;-71.08146033
I182070571;520;Residential Burglary;BURGLARY - RESIDENTIAL - FORCE;B2;317;0;02/09/2018 14:39;2018;9;Sunday;14;0;42.31014403;-71.08759179
I182070558;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;281;0;02/09/2018 13:32;2018;9;Sunday;13;0;42.32696802;-71.08051941
I182070552;1402;Vandalism;VANDALISM;B2;318;0;01/09/2018 23:00;2018;9;Saturday;23;0;42.30878855;-71.09055618
I182070549;301;Robbery;ROBBERY - STREET;B2;282;0;02/09/2018 07:00;2018;9;Sunday;7;1;42.32823419;-71.08328981
I182070549;413;Aggravated Assault;ASSAULT - AGGRAVATED - BATTERY;B2;282;0;02/09/2018 07:00;2018;9;Sunday;7;1;42.32823419;-71.08328981
I182070540;2646;Liquor Violation;LIQUOR - DRINKING IN PUBLIC;B2;288;0;02/09/2018 13:01;2018;9;Sunday;13;0;42.32866284;-71.08563401
I182070527;3301;Verbal Disputes;VERBAL DISPUTE;B2;326;0;02/09/2018 11:31;2018;9;Sunday;11;0;42.31286677;-71.07841587
I182070524;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;276;0;02/09/2018 02:00;2018;9;Sunday;2;0;42.33237733;-71.08237779
I182070513;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;605;0;31/08/2018 22:00;2018;8;Friday;22;0;42.33332888;-71.10659534
I182070501;361;Robbery;ROBBERY - OTHER;B2;177;0;01/09/2018 19:00;2018;9;Saturday;19;1;0;0
I182070496;619;Larceny;LARCENY ALL OTHERS;B2;318;0;02/09/2018 00:00;2018;9;Sunday;0;0;42.30878855;-71.09055618
I182070496;1402;Vandalism;VANDALISM;B2;318;0;02/09/2018 00:00;2018;9;Sunday;0;0;42.30878855;-71.09055618
I182070474;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;321;0;02/09/2018 02:52;2018;9;Sunday;2;0;42.31226098;-71.08179001
I182070461;3803;Motor Vehicle Accident Response;M/V ACCIDENT - PERSONAL INJURY;B2;263;0;02/09/2018 00:46;2018;9;Sunday;0;0;42.32375515;-71.07391884
I182070417;1402;Vandalism;VANDALISM;B2;182;0;01/09/2018 18:15;2018;9;Saturday;18;0;42.32263156;-71.06979845
I182070392;2629;Harassment;HARASSMENT;B2;239;0;01/09/2018 18:46;2018;9;Saturday;18;0;42.31841468;-71.06507314
I182070392;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;239;0;01/09/2018 18:46;2018;9;Saturday;18;0;42.31841468;-71.06507314
I182070387;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;280;0;01/09/2018 20:20;2018;9;Saturday;20;0;42.32978737;-71.08324801
I182070381;1842;Drug Violation;DRUGS - POSS CLASS A - HEROIN ETC. ;B2;179;0;01/09/2018 20:43;2018;9;Saturday;20;0;42.33176796;-71.07182739
I182070381;2610;Other;TRESPASSING;B2;179;0;01/09/2018 20:43;2018;9;Saturday;20;0;42.33176796;-71.07182739
I182070379;2610;Other;TRESPASSING;B2;179;0;01/09/2018 16:56;2018;9;Saturday;16;0;42.33176796;-71.07182739
I182070373;3112;Landlord/Tenant Disputes;LANDLORD - TENANT SERVICE;B2;290;0;01/09/2018 14:49;2018;9;Saturday;14;0;42.33130111;-71.09333508
I182070363;3301;Verbal Disputes;VERBAL DISPUTE;B2;611;0;01/09/2018 18:35;2018;9;Saturday;18;0;42.33407624;-71.10842653
I182070346;619;Larceny;LARCENY ALL OTHERS;B2;587;0;31/08/2018 19:00;2018;8;Friday;19;0;42.33188687;-71.0995439
I182070340;613;Larceny;LARCENY SHOPLIFTING;B2;311;0;01/09/2018 16:23;2018;9;Saturday;16;0;42.3160569;-71.07820017
I182070337;3115;Investigate Person;INVESTIGATE PERSON;B2;282;0;01/09/2018 17:48;2018;9;Saturday;17;0;42.32866284;-71.08563401
I182070334;724;Auto Theft;AUTO THEFT;B2;326;0;01/09/2018 16:24;2018;9;Saturday;16;0;42.31162834;-71.08094294
I182070322;3125;Warrant Arrests;WARRANT ARREST;B2;280;0;01/09/2018 16:04;2018;9;Saturday;16;0;42.32902469;-71.08341505
I182070319;3125;Warrant Arrests;WARRANT ARREST;B2;238;0;01/09/2018 16:06;2018;9;Saturday;16;0;42.31873011;-71.06660708
I182070315;3802;Motor Vehicle Accident Response;M/V ACCIDENT - PROPERTY  DAMAGE;B2;288;0;31/08/2018 19:00;2018;8;Friday;19;0;42.32952036;-71.08530641
I182070314;3802;Motor Vehicle Accident Response;M/V ACCIDENT - PROPERTY  DAMAGE;B2;317;0;01/09/2018 15:07;2018;9;Saturday;15;0;42.31262432;-71.08991596
I182070302;423;Aggravated Assault;ASSAULT - AGGRAVATED;B2;238;0;01/09/2018 14:26;2018;9;Saturday;14;1;42.31873011;-71.06660708
I182070301;1402;Vandalism;VANDALISM;B2;304;0;31/08/2018 20:15;2018;8;Friday;20;0;42.32102023;-71.09352344
I182070290;1402;Vandalism;VANDALISM;B2;261;0;31/08/2018 23:30;2018;8;Friday;23;0;42.32047753;-71.07273673
I182070290;522;Residential Burglary;BURGLARY - RESIDENTIAL - NO FORCE;B2;261;0;31/08/2018 23:30;2018;8;Friday;23;0;42.32047753;-71.07273673
I182070288;2101;Operating Under the Influence;OPERATING UNDER THE INFLUENCE ALCOHOL;B2;288;0;01/09/2018 13:20;2018;9;Saturday;13;0;42.3296087;-71.08462109
I182070288;2900;Other;VAL - VIOLATION OF AUTO LAW - OTHER;B2;288;0;01/09/2018 13:20;2018;9;Saturday;13;0;42.3296087;-71.08462109
I182070263;1106;Confidence Games;FRAUD - CREDIT CARD / ATM FRAUD;B2;291;0;01/09/2018 12:24;2018;9;Saturday;12;0;42.32955354;-71.09357444
I182070244;3802;Motor Vehicle Accident Response;M/V ACCIDENT - PROPERTY  DAMAGE;B2;180;0;01/09/2018 09:22;2018;9;Saturday;9;0;42.3276156;-71.07285692
I182070236;3802;Motor Vehicle Accident Response;M/V ACCIDENT - PROPERTY  DAMAGE;B2;311;0;01/09/2018 10:15;2018;9;Saturday;10;0;42.3169665;-71.08254058
I182070234;613;Larceny;LARCENY SHOPLIFTING;B2;276;0;01/09/2018 09:43;2018;9;Saturday;9;0;42.33330171;-71.08181675
I182070228;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;587;0;01/09/2018 08:42;2018;9;Saturday;8;0;42.33153509;-71.09534648
I182070228;3410;Towed;TOWED MOTOR VEHICLE;B2;587;0;01/09/2018 08:42;2018;9;Saturday;8;0;42.33153509;-71.09534648
I182070224;1402;Vandalism;VANDALISM;B2;909;0;01/09/2018 09:42;2018;9;Saturday;9;0;42.33380238;-71.08880867
I182070221;1402;Vandalism;VANDALISM;B2;288;0;01/09/2018 09:01;2018;9;Saturday;9;0;42.32925905;-71.08482402
I182070192;724;Auto Theft;AUTO THEFT;B2;182;0;01/09/2018 06:23;2018;9;Saturday;6;0;42.32503262;-71.06915744
I182070179;2629;Harassment;HARASSMENT;B2;181;0;01/09/2018 02:45;2018;9;Saturday;2;0;42.3250287;-71.07341448
I182070178;2900;Other;VAL - VIOLATION OF AUTO LAW - OTHER;B2;182;0;01/09/2018 01:54;2018;9;Saturday;1;0;42.32396791;-71.07117658
I182070173;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;308;0;01/09/2018 03:20;2018;9;Saturday;3;0;42.31794835;-71.08774652
I182070163;3114;Investigate Property;INVESTIGATE PROPERTY;B2;309;0;01/09/2018 02:24;2018;9;Saturday;2;0;42.31860134;-71.08405792
I182070152;2662;Ballistics;BALLISTICS EVIDENCE/FOUND;B2;901;0;01/09/2018 01:32;2018;9;Saturday;1;1;42.33426744;-71.09713457
I182070146;3001;Medical Assistance;DEATH INVESTIGATION;B2;605;0;01/09/2018 00:21;2018;9;Saturday;0;0;42.33267994;-71.109579
I182070136;3502;Missing Person Located;MISSING PERSON - LOCATED;B2;611;0;31/08/2018 16:00;2018;8;Friday;16;0;42.33407624;-71.10842653
I182070132;3119;Firearm Discovery;FIREARM/WEAPON - FOUND OR CONFISCATED;B2;297;0;31/08/2018 23:34;2018;8;Friday;23;0;42.32262111;-71.08431097
I182070131;3301;Verbal Disputes;VERBAL DISPUTE;B2;320;0;31/08/2018 23:18;2018;8;Friday;23;0;42.31068153;-71.08619442
I182070116;3114;Investigate Property;INVESTIGATE PROPERTY;B2;309;0;25/08/2018 00:00;2018;8;Saturday;0;0;42.31939136;-71.08544157
I182070095;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;297;0;31/08/2018 20:23;2018;8;Friday;20;1;42.32074773;-71.08179833
I182070095;619;Larceny;LARCENY ALL OTHERS;B2;297;0;31/08/2018 20:23;2018;8;Friday;20;0;42.32074773;-71.08179833
I182070091;2647;Other;THREATS TO DO BODILY HARM;B2;290;0;31/08/2018 20:22;2018;8;Friday;20;0;42.33130111;-71.09333508
I182070084;361;Robbery;ROBBERY - OTHER;B2;318;0;31/08/2018 19:05;2018;8;Friday;19;1;42.31024899;-71.0918393
I182070084;2622;Other;KIDNAPPING/CUSTODIAL KIDNAPPING;B2;318;0;31/08/2018 19:05;2018;8;Friday;19;0;42.31024899;-71.0918393
I182070084;423;Aggravated Assault;ASSAULT - AGGRAVATED;B2;318;0;31/08/2018 19:05;2018;8;Friday;19;1;42.31024899;-71.0918393
I182070073;2646;Liquor Violation;LIQUOR - DRINKING IN PUBLIC;B2;181;0;31/08/2018 18:02;2018;8;Friday;18;0;42.32587659;-71.07024947
I182070059;2610;Other;TRESPASSING;B2;179;0;31/08/2018 18:50;2018;8;Friday;18;0;42.33176796;-71.07182739
I182070054;3115;Investigate Person;INVESTIGATE PERSON;B2;304;0;31/08/2018 18:39;2018;8;Friday;18;0;42.32102023;-71.09352344
I182070041;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;266;0;30/08/2018 20:00;2018;8;Thursday;20;0;42.32506222;-71.0789508
I182070035;1810;Drug Violation;DRUGS - SALE / MANUFACTURING;B2;904;0;31/08/2018 17:40;2018;8;Friday;17;0;42.32924494;-71.08200715
I182070035;1849;Drug Violation;DRUGS - POSS CLASS B - COCAINE ETC.;B2;904;0;31/08/2018 17:40;2018;8;Friday;17;0;42.32924494;-71.08200715
I182070033;3115;Investigate Person;INVESTIGATE PERSON;B2;329;0;31/08/2018 16:50;2018;8;Friday;16;0;42.30821604;-71.07997835
I182070031;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;318;0;31/08/2018 16:08;2018;8;Friday;16;0;42.30878855;-71.09055618
I182070026;2647;Other;THREATS TO DO BODILY HARM;B2;258;0;31/08/2018 16:27;2018;8;Friday;16;0;42.31633855;-71.06879992
I182070025;613;Larceny;LARCENY SHOPLIFTING;B2;329;0;31/08/2018 17:05;2018;8;Friday;17;0;42.30896999;-71.08284839
I182070023;706;Auto Theft;AUTO THEFT - MOTORCYCLE / SCOOTER;B2;604;0;31/08/2018 00:30;2018;8;Friday;0;0;42.3312567;-71.10418684
I182070014;3503;Missing Person Located;MISSING PERSON - NOT REPORTED - LOCATED;B2;281;0;31/08/2018 14:04;2018;8;Friday;14;0;42.32696802;-71.08051941
I182070000;3201;Property Lost;PROPERTY - LOST;B2;587;0;31/08/2018 14:55;2018;8;Friday;14;0;42.33153509;-71.09534648
I182069999;617;Larceny;LARCENY THEFT FROM BUILDING;B2;311;0;21/08/2018 10:43;2018;8;Tuesday;10;0;42.31719004;-71.08167267
I182069997;3115;Investigate Person;INVESTIGATE PERSON;B2;605;0;31/08/2018 12:00;2018;8;Friday;12;0;42.33279607;-71.10793327
I182069995;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;329;0;31/08/2018 15:27;2018;8;Friday;15;0;42.30938437;-71.08262277
I182069985;2906;Violations;VAL - OPERATING UNREG/UNINS  CAR;B2;288;0;31/08/2018 14:58;2018;8;Friday;14;1;42.32988771;-71.08445915
I182069974;724;Auto Theft;AUTO THEFT;B2;604;0;29/08/2018 11:50;2018;8;Wednesday;11;0;42.33151289;-71.10494901
I182069948;613;Larceny;LARCENY SHOPLIFTING;B2;311;0;31/08/2018 12:20;2018;8;Friday;12;0;42.3169665;-71.08254058
I182069946;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;614;0;21/08/2018 12:00;2018;8;Tuesday;12;0;42.33962338;-71.10649737
I182069944;3207;Property Found;PROPERTY - FOUND;B2;179;0;31/08/2018 13:40;2018;8;Friday;13;0;42.33130578;-71.07194742
I182069925;3201;Property Lost;PROPERTY - LOST;B2;282;0;31/08/2018 12:15;2018;8;Friday;12;0;42.32866284;-71.08563401
I182069920;3201;Property Lost;PROPERTY - LOST;B2;287;0;31/08/2017 12:08;2017;8;Thursday;12;0;42.33192532;-71.08411222
I182069909;2647;Other;THREATS TO DO BODILY HARM;B2;318;0;30/08/2018 17:30;2018;8;Thursday;17;0;42.30878855;-71.09055618
I182069906;3802;Motor Vehicle Accident Response;M/V ACCIDENT - PROPERTY  DAMAGE;B2;313;0;31/08/2018 09:48;2018;8;Friday;9;0;42.31508518;-71.08508813
I182069897;3125;Warrant Arrests;WARRANT ARREST;B2;179;0;31/08/2018 10:15;2018;8;Friday;10;0;42.33130578;-71.07194742
I182069892;1402;Vandalism;VANDALISM;B2;299;0;30/08/2018 20:00;2018;8;Thursday;20;0;42.32416015;-71.08732873
I182069874;3820;Motor Vehicle Accident Response;M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY;B2;587;0;31/08/2018 08:38;2018;8;Friday;8;0;42.33082052;-71.09800691
I182069871;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;319;0;31/08/2018 08:22;2018;8;Friday;8;0;42.30603974;-71.0862124
I182069871;1402;Vandalism;VANDALISM;B2;319;0;31/08/2018 08:22;2018;8;Friday;8;0;42.30603974;-71.0862124
I182069860;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;613;0;31/08/2018 06:08;2018;8;Friday;6;0;42.33889293;-71.10893598
I182069853;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;304;0;31/08/2018 03:25;2018;8;Friday;3;0;42.31909398;-71.09556647
I182069835;3301;Verbal Disputes;VERBAL DISPUTE;B2;281;0;31/08/2018 00:03;2018;8;Friday;0;0;42.32692266;-71.08313475
I182069834;3114;Investigate Property;INVESTIGATE PROPERTY;B2;601;0;30/08/2018 23:48;2018;8;Thursday;23;0;42.33364098;-71.1008891
I182069825;3114;Investigate Property;INVESTIGATE PROPERTY;B2;282;0;31/08/2018 00:13;2018;8;Friday;0;0;42.32866284;-71.08563401
I182069821;3502;Missing Person Located;MISSING PERSON - LOCATED;B2;281;0;30/08/2018 23:22;2018;8;Thursday;23;0;42.32696802;-71.08051941
I182069806;3207;Property Found;PROPERTY - FOUND;B2;282;0;30/08/2018 22:02;2018;8;Thursday;22;0;42.32866284;-71.08563401
I182069801;3301;Verbal Disputes;VERBAL DISPUTE;B2;291;0;30/08/2018 21:23;2018;8;Thursday;21;0;42.32978344;-71.09480008
I182069777;1402;Vandalism;VANDALISM;B2;901;0;30/08/2018 20:05;2018;8;Thursday;20;0;42.33431859;-71.0962111
I182069773;3301;Verbal Disputes;VERBAL DISPUTE;B2;296;0;30/08/2018 19:07;2018;8;Thursday;19;0;42.32353791;-71.08134501
I182069765;3125;Warrant Arrests;WARRANT ARREST;B2;265;0;30/08/2018 19:03;2018;8;Thursday;19;0;42.32988771;-71.08445915
I182069740;3301;Verbal Disputes;VERBAL DISPUTE;B2;297;0;30/08/2018 17:55;2018;8;Thursday;17;0;42.32130608;-71.08343731
I182069734;2906;Violations;VAL - OPERATING UNREG/UNINS  CAR;B2; ;0;30/08/2018 16:32;2018;8;Thursday;16;1;0;0
I182069734;2900;Other;VAL - VIOLATION OF AUTO LAW - OTHER;B2; ;0;30/08/2018 16:32;2018;8;Thursday;16;0;0;0
I182069734;2905;Violations;VAL - OPERATING WITHOUT LICENSE;B2; ;0;30/08/2018 16:32;2018;8;Thursday;16;1;0;0
I182069733;1842;Drug Violation;DRUGS - POSS CLASS A - HEROIN;B2;181;0;30/08/2018 17:41;2018;8;Thursday;17;0;42.32587659;-71.07024947
I182069733;1849;Drug Violation;DRUGS - POSS CLASS B - COCAINE;B2;181;0;30/08/2018 17:41;2018;8;Thursday;17;0;42.32587659;-71.07024947
I182069722;2629;Harassment;HARASSMENT;B2;318;0;25/07/2018 12:50;2018;7;Wednesday;12;0;42.30878855;-71.09055618
I182069695;1102;Fraud;FRAUD - FALSE PRETENSE / SCHEME;B2;330;0;24/08/2018 18:00;2018;8;Friday;18;0;42.3043395;-71.08477887
I182069690;3301;Verbal Disputes;VERBAL DISPUTE;B2;286;0;30/08/2018 14:46;2018;8;Thursday;14;0;42.33446794;-71.08655064
I182069687;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;278;0;28/08/2018 12:00;2018;8;Tuesday;12;0;42.33153805;-71.08015661
I182069687;301;Robbery;ROBBERY - STREET;B2;278;0;28/08/2018 12:00;2018;8;Tuesday;12;1;42.33153805;-71.08015661
I182069675;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2; ;0;24/08/2018 22:26;2018;8;Friday;22;0;0;0
I182069674;3115;Investigate Person;INVESTIGATE PERSON;B2;178;0;30/08/2018 13:12;2018;8;Thursday;13;0;42.33207616;-71.07145394
I182069672;3301;Verbal Disputes;VERBAL DISPUTE;B2;264;0;30/08/2018 14:52;2018;8;Thursday;14;0;42.32016095;-71.0777729
I182069661;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2; ;0;30/08/2018 08:15;2018;8;Thursday;8;0;0;0
I182069648;614;Larceny From Motor Vehicle;LARCENY THEFT FROM MV - NON-ACCESSORY;B2;310;0;29/08/2018 20:30;2018;8;Wednesday;20;0;42.31823024;-71.08622199
I182069640;3501;Missing Person Reported;MISSING PERSON;B2;281;0;30/08/2018 13:22;2018;8;Thursday;13;0;42.32696802;-71.08051941
I182069639;3501;Missing Person Reported;MISSING PERSON;B2;281;0;30/08/2018 13:20;2018;8;Thursday;13;0;42.32696802;-71.08051941
I182069629;2647;Other;THREATS TO DO BODILY HARM;B2;318;0;30/08/2018 12:49;2018;8;Thursday;12;0;42.31127726;-71.08909334
I182069620;1102;Fraud;FRAUD - FALSE PRETENSE / SCHEME;B2;296;0;30/08/2018 12:08;2018;8;Thursday;12;0;42.32221645;-71.08206723
I182069604;3201;Property Lost;PROPERTY - LOST;B2;282;0;30/08/2018 11:15;2018;8;Thursday;11;0;42.32823419;-71.08328981
I182069595;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;179;0;30/08/2018 10:05;2018;8;Thursday;10;0;42.33176796;-71.07182739
